iata,ident,name,city,state,type,latitude,longitude,elevation_ft,scheduled_service,runway_count,longest_runway_ft,source
ABE,KABE,Lehigh Valley International Airport,Allentown/Bethlehem,PA,medium_airport,40.651773,-75.442797,393.0,yes,2,7599,OurAirports airports and runways cache
ABI,KABI,Abilene Regional Airport,Abilene,TX,medium_airport,32.4113006592,-99.6819000244,1791.0,yes,3,7208,OurAirports airports and runways cache
ABL,PAFM,Ambler Airport,Ambler,AK,medium_airport,67.105529,-157.855339,334.0,yes,2,4000,OurAirports airports and runways cache
ABQ,KABQ,Albuquerque International Sunport,Albuquerque,NM,large_airport,35.039976,-106.608925,5355.0,yes,4,13793,OurAirports airports and runways cache
ABR,KABR,Aberdeen Regional Airport,Aberdeen,SD,medium_airport,45.449100494384766,-98.42179870605467,1302.0,yes,2,6901,OurAirports airports and runways cache
ABY,KABY,Southwest Georgia Regional Airport,Albany,GA,medium_airport,31.532946,-84.196215,197.0,yes,2,6601,OurAirports airports and runways cache
ACK,KACK,Nantucket Memorial Airport,Nantucket,MA,medium_airport,41.25310135,-70.06020355,47.0,yes,3,6303,OurAirports airports and runways cache
ACT,KACT,Waco Regional Airport,Waco,TX,medium_airport,31.611299514770508,-97.23049926757812,516.0,yes,2,7107,OurAirports airports and runways cache
ACV,KACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,CA,medium_airport,40.978101,-124.109,221.0,yes,2,6046,OurAirports airports and runways cache
ACY,KACY,Atlantic City International Airport,Atlantic City,NJ,medium_airport,39.456201,-74.577511,75.0,yes,2,10001,OurAirports airports and runways cache
ADK,PADK,Adak Airport,Adak,AK,medium_airport,51.883564,-176.642783,18.0,yes,2,7790,OurAirports airports and runways cache
ADQ,PADQ,Kodiak Airport,Kodiak,AK,medium_airport,57.75,-152.4940033,78.0,yes,3,7534,OurAirports airports and runways cache
AET,PFAL,Allakaket Airport,Allakaket,AK,small_airport,66.551804,-152.621994,441.0,yes,1,4000,OurAirports airports and runways cache
AEX,KAEX,Alexandria International Airport,Alexandria,LA,medium_airport,31.325828,-92.546702,89.0,yes,2,9352,OurAirports airports and runways cache
AGN,PAGN,Angoon Seaplane Base,Angoon,AK,seaplane_base,57.497097,-134.56722,,yes,1,10000,OurAirports airports and runways cache
AGS,KAGS,Augusta Regional At Bush Field,Augusta,GA,medium_airport,33.3699,-81.9645,144.0,yes,2,8001,OurAirports airports and runways cache
AIA,KAIA,Alliance Municipal Airport,Alliance,NE,medium_airport,42.052543,-102.803965,3931.0,yes,3,9203,OurAirports airports and runways cache
AIN,PAWI,Wainwright Airport,Wainwright,AK,medium_airport,70.638,-159.994995,41.0,yes,1,4494,OurAirports airports and runways cache
AKB,PAAK,Atka Airport,Atka,AK,small_airport,52.220299,-174.205994,57.0,yes,1,4500,OurAirports airports and runways cache
AKI,PFAK,Akiak Airport,Akiak,AK,small_airport,60.902646,-161.23106,30.0,yes,1,3200,OurAirports airports and runways cache
AKK,PAKH,Akhiok Airport,Akhiok,AK,small_airport,56.938702,-154.182999,44.0,yes,1,3120,OurAirports airports and runways cache
AKN,PAKN,King Salmon Airport,King Salmon,AK,medium_airport,58.677845,-156.651965,73.0,yes,3,8901,OurAirports airports and runways cache
AKP,PAKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,AK,medium_airport,68.133598,-151.742996,2102.0,yes,1,4800,OurAirports airports and runways cache
ALB,KALB,Albany International Airport,Albany,NY,large_airport,42.748299,-73.801697,285.0,yes,2,8500,OurAirports airports and runways cache
ALO,KALO,Waterloo Regional Airport,Waterloo,IA,medium_airport,42.55709838867188,-92.40029907226562,873.0,yes,3,8399,OurAirports airports and runways cache
