iata,baseline,confidence,note
ATL,75,low,prototype structural congestion proxy
ORD,78,low,prototype structural congestion proxy
LAX,72,low,prototype structural congestion proxy
DFW,70,low,prototype structural congestion proxy
JFK,80,low,prototype structural congestion proxy
EWR,82,low,prototype structural congestion proxy
LGA,85,low,prototype structural congestion proxy
SFO,70,low,prototype structural congestion proxy
BOS,68,low,prototype structural congestion proxy
MIA,65,low,prototype structural congestion proxy
CLT,60,low,prototype structural congestion proxy
DEN,55,low,prototype structural congestion proxy
PHX,50,low,prototype structural congestion proxy
IAH,58,low,prototype structural congestion proxy
SEA,55,low,prototype structural congestion proxy
MSP,52,low,prototype structural congestion proxy
DTW,55,low,prototype structural congestion proxy
PHL,62,low,prototype structural congestion proxy
BWI,45,low,prototype structural congestion proxy
MDW,50,low,prototype structural congestion proxy
IAD,58,low,prototype structural congestion proxy
FLL,48,low,prototype structural congestion proxy
MCO,45,low,prototype structural congestion proxy
LAS,50,low,prototype structural congestion proxy
SAN,40,low,prototype structural congestion proxy
SNA,35,low,prototype structural congestion proxy
PDX,38,low,prototype structural congestion proxy
AUS,42,low,prototype structural congestion proxy
BNA,40,low,prototype structural congestion proxy
DAL,45,low,prototype structural congestion proxy
