iata,estimate,confidence,note
ANC,35,medium,prototype route-mix proxy
LAX,28,medium,prototype route-mix proxy
SFO,32,medium,prototype route-mix proxy
JFK,45,medium,prototype route-mix proxy
EWR,38,medium,prototype route-mix proxy
ORD,22,low,prototype route-mix proxy
ATL,18,low,prototype route-mix proxy
DFW,20,low,prototype route-mix proxy
MIA,48,medium,prototype route-mix proxy
SEA,25,low,prototype route-mix proxy
BOS,22,low,prototype route-mix proxy
IAD,40,medium,prototype route-mix proxy
IAH,25,low,prototype route-mix proxy
SNA,5,low,prototype route-mix proxy
SAN,8,low,prototype route-mix proxy
PDX,12,low,prototype route-mix proxy
HNL,55,medium,prototype route-mix proxy
MCO,15,low,prototype route-mix proxy
LAS,10,low,prototype route-mix proxy
PHX,12,low,prototype route-mix proxy
DEN,15,low,prototype route-mix proxy
CLT,14,low,prototype route-mix proxy
MSP,16,low,prototype route-mix proxy
DTW,18,low,prototype route-mix proxy
PHL,20,low,prototype route-mix proxy
LGA,8,low,prototype route-mix proxy
BWI,10,low,prototype route-mix proxy
