iata,ident,runway_count,longest_runway_ft,source
ABE,KABE,2,7599,OurAirports airports and runways cache
ABI,KABI,3,7208,OurAirports airports and runways cache
ABL,PAFM,2,4000,OurAirports airports and runways cache
ABQ,KABQ,4,13793,OurAirports airports and runways cache
ABR,KABR,2,6901,OurAirports airports and runways cache
ABY,KABY,2,6601,OurAirports airports and runways cache
ACK,KACK,3,6303,OurAirports airports and runways cache
ACT,KACT,2,7107,OurAirports airports and runways cache
ACV,KACV,2,6046,OurAirports airports and runways cache
ACY,KACY,2,10001,OurAirports airports and runways cache
ADK,PADK,2,7790,OurAirports airports and runways cache
ADQ,PADQ,3,7534,OurAirports airports and runways cache
AET,PFAL,1,4000,OurAirports airports and runways cache
AEX,KAEX,2,9352,OurAirports airports and runways cache
AGN,PAGN,1,10000,OurAirports airports and runways cache
AGS,KAGS,2,8001,OurAirports airports and runways cache
AIA,KAIA,3,9203,OurAirports airports and runways cache
AIN,PAWI,1,4494,OurAirports airports and runways cache
AKB,PAAK,1,4500,OurAirports airports and runways cache
AKI,PFAK,1,3200,OurAirports airports and runways cache
AKK,PAKH,1,3120,OurAirports airports and runways cache
AKN,PAKN,3,8901,OurAirports airports and runways cache
AKP,PAKP,1,4800,OurAirports airports and runways cache
ALB,KALB,2,8500,OurAirports airports and runways cache
ALO,KALO,3,8399,OurAirports airports and runways cache
ALS,KALS,2,8521,OurAirports airports and runways cache
ALW,KALW,3,6527,OurAirports airports and runways cache
ALZ,ALZ,1,10000,OurAirports airports and runways cache
AMA,KAMA,2,13502,OurAirports airports and runways cache
ANC,PANC,3,12400,OurAirports airports and runways cache
ANI,PANI,2,6200,OurAirports airports and runways cache
ANV,PANV,1,4000,OurAirports airports and runways cache
AOO,KAOO,2,5465,OurAirports airports and runways cache
AOS,AK81,1,8000,OurAirports airports and runways cache
APN,KAPN,2,9001,OurAirports airports and runways cache
ARC,PARC,1,4500,OurAirports airports and runways cache
ART,KART,2,7001,OurAirports airports and runways cache
ASE,KASE,1,8006,OurAirports airports and runways cache
ATK,PATQ,1,4370,OurAirports airports and runways cache
ATL,KATL,5,12390,OurAirports airports and runways cache
ATT,4A2,1,3000,OurAirports airports and runways cache
ATW,KATW,2,8003,OurAirports airports and runways cache
ATY,KATY,2,6898,OurAirports airports and runways cache
AUG,KAUG,2,5002,OurAirports airports and runways cache
AUK,PAUK,1,4000,OurAirports airports and runways cache
AUS,KAUS,2,12250,OurAirports airports and runways cache
AVL,KAVL,1,8002,OurAirports airports and runways cache
AVP,KAVP,2,7502,OurAirports airports and runways cache
AZA,KIWA,3,10401,OurAirports airports and runways cache
AZO,KAZO,3,6502,OurAirports airports and runways cache
BDL,KBDL,3,9510,OurAirports airports and runways cache
BED,KBED,2,7011,OurAirports airports and runways cache
BET,PABE,3,6400,OurAirports airports and runways cache
BFD,KBFD,2,6307,OurAirports airports and runways cache
BFF,KBFF,2,8279,OurAirports airports and runways cache
BFI,KBFI,2,10007,OurAirports airports and runways cache
BFL,KBFL,2,10849,OurAirports airports and runways cache
BGM,KBGM,2,7305,OurAirports airports and runways cache
BGR,KBGR,1,11440,OurAirports airports and runways cache
BHB,KBHB,3,5200,OurAirports airports and runways cache
BHM,KBHM,2,12007,OurAirports airports and runways cache
BID,KBID,1,2502,OurAirports airports and runways cache
BIH,KBIH,3,7498,OurAirports airports and runways cache
BIL,KBIL,3,10518,OurAirports airports and runways cache
BIS,KBIS,2,8794,OurAirports airports and runways cache
BJC,KBJC,3,9000,OurAirports airports and runways cache
BKC,PABL,1,3200,OurAirports airports and runways cache
BKF,5Z9,1,5000,OurAirports airports and runways cache
BKG,KBBG,1,7140,OurAirports airports and runways cache
BKW,KBKW,2,6750,OurAirports airports and runways cache
BLD,K61B,3,5103,OurAirports airports and runways cache
BLI,KBLI,1,6700,OurAirports airports and runways cache
BLV,KBLV,2,10000,OurAirports airports and runways cache
BMI,KBMI,3,8000,OurAirports airports and runways cache
BNA,KBNA,4,11030,OurAirports airports and runways cache
BOI,KBOI,3,10000,OurAirports airports and runways cache
BOS,KBOS,6,10083,OurAirports airports and runways cache
BPT,KBPT,2,6751,OurAirports airports and runways cache
BQK,KBQK,1,8001,OurAirports airports and runways cache
BRD,KBRD,4,7100,OurAirports airports and runways cache
BRL,KBRL,2,6102,OurAirports airports and runways cache
BRO,KBRO,3,7399,OurAirports airports and runways cache
BRW,PABR,1,7100,OurAirports airports and runways cache
BTI,PABA,1,4500,OurAirports airports and runways cache
BTM,KBTM,3,9000,OurAirports airports and runways cache
BTR,KBTR,3,7500,OurAirports airports and runways cache
BTT,PABT,1,5190,OurAirports airports and runways cache
BTV,KBTV,2,8319,OurAirports airports and runways cache
BUF,KBUF,2,8829,OurAirports airports and runways cache
BUR,KBUR,2,6886,OurAirports airports and runways cache
BWI,KBWI,4,10503,OurAirports airports and runways cache
BYW,38WA,1,2200,OurAirports airports and runways cache
BZN,KBZN,4,8994,OurAirports airports and runways cache
CAE,KCAE,2,8601,OurAirports airports and runways cache
CAK,KCAK,3,8204,OurAirports airports and runways cache
CCR,KCCR,4,5001,OurAirports airports and runways cache
CDB,PACD,2,10179,OurAirports airports and runways cache
CDC,KCDC,2,8653,OurAirports airports and runways cache
CDR,KCDR,2,5998,OurAirports airports and runways cache
CDV,PACV,2,7500,OurAirports airports and runways cache
CEC,KCEC,2,5002,OurAirports airports and runways cache
CEM,PACE,1,2782,OurAirports airports and runways cache
CEZ,KCEZ,1,7205,OurAirports airports and runways cache
